Age,Income,Credit_Score,Occupation,Spending_Score,EMI_Burden,Loan_Eligible,CreditCard_Eligible
23,65994,387,Student,85,0.24,0,0
49,88181,699,IT Engineer,92,0.34,1,1
55,135614,409,Bank Employee,25,0.14,0,0
59,63141,567,Teacher,60,0.37,0,0
38,135249,718,Shopkeeper,47,0.47,0,0
40,59557,544,Doctor,96,0.24,0,0
43,49087,662,Student,20,0.34,0,1
54,92933,793,Driver,23,0.29,1,1
53,123633,868,Sales Executive,34,0.06,1,1
30,142572,591,Teacher,13,0.46,0,0
53,50982,782,Bank Employee,46,0.41,0,0
53,28708,495,Sales Executive,51,0.24,0,0
46,74914,306,Student,27,0.09,0,0
40,72529,794,Business Owner,20,0.21,1,1
35,69701,839,Driver,41,0.29,1,1
57,34926,513,Student,64,0.16,0,0
53,25389,816,Bank Employee,83,0.42,0,0
37,138863,408,Teacher,26,0.18,0,0
25,69851,476,Freelancer,23,0.14,0,0
24,135809,810,Driver,90,0.13,1,1
23,62370,779,Shopkeeper,79,0.38,0,1
41,100601,767,Shopkeeper,77,0.3,1,1
23,75659,711,Business Owner,64,0.36,0,1
41,52545,599,IT Engineer,74,0.18,0,0
28,118539,673,IT Engineer,52,0.23,1,1
56,118736,784,Doctor,55,0.45,0,0
49,63339,807,Driver,38,0.2,1,1
59,93277,439,Shopkeeper,62,0.46,0,0
54,110819,317,Driver,58,0.48,0,0
42,144734,600,Business Owner,70,0.06,0,0
51,62783,862,Teacher,73,0.27,1,1
48,46878,797,Bank Employee,68,0.33,0,1
55,83206,304,Business Owner,53,0.06,0,0
54,103974,714,Student,18,0.21,1,1
33,127613,870,Driver,51,0.06,1,1
24,96079,637,Shopkeeper,35,0.33,1,0
26,72569,613,Driver,89,0.26,1,0
21,107623,596,Student,40,0.17,0,0
32,83838,599,Shopkeeper,62,0.4,0,0
55,136654,870,Freelancer,62,0.29,1,1
31,98454,587,IT Engineer,31,0.2,0,0
43,104332,543,Freelancer,72,0.47,0,0
34,43553,639,Business Owner,83,0.49,0,0
39,70294,594,Student,96,0.13,0,0
57,119976,698,Business Owner,78,0.49,0,0
36,119586,701,Teacher,58,0.31,1,1
48,27793,499,Business Owner,19,0.44,0,0
51,47035,755,Student,86,0.18,0,1
27,74774,428,Teacher,66,0.07,0,0
47,134208,662,Shopkeeper,63,0.06,1,1
37,97837,417,Bank Employee,79,0.24,0,0
27,95771,512,Shopkeeper,53,0.05,0,0
35,81413,530,IT Engineer,58,0.25,0,0
32,135035,344,Teacher,29,0.38,0,0
28,35184,877,Sales Executive,11,0.35,0,0
22,80927,589,Driver,33,0.38,0,0
58,88471,704,Student,91,0.32,1,1
46,147736,475,Doctor,19,0.48,0,0
41,52089,460,Bank Employee,41,0.16,0,0
33,112783,402,Freelancer,85,0.46,0,0
39,114858,851,Business Owner,75,0.49,0,0
38,56395,498,IT Engineer,14,0.05,0,0
22,149741,826,Teacher,87,0.24,1,1
48,51603,756,Driver,84,0.35,0,1
43,148557,551,IT Engineer,69,0.33,0,0
24,62952,800,Student,92,0.5,0,0
24,131578,316,Bank Employee,22,0.35,0,0
32,92877,660,Bank Employee,90,0.33,1,1
42,61123,720,Freelancer,68,0.47,0,0
46,108886,572,IT Engineer,55,0.46,0,0
55,55664,892,Teacher,92,0.43,0,0
24,103894,801,Sales Executive,34,0.23,1,1
32,79793,501,Sales Executive,65,0.36,0,0
24,67327,501,Business Owner,90,0.48,0,0
51,36737,836,Teacher,87,0.16,0,0
27,119151,827,Driver,29,0.27,1,1
30,101932,870,Student,46,0.39,0,1
44,148788,401,Shopkeeper,40,0.32,0,0
35,41725,545,Freelancer,15,0.4,0,0
59,99273,490,Teacher,85,0.17,0,0
40,129344,351,Student,99,0.11,0,0
27,128062,580,Doctor,24,0.26,0,0
33,82576,696,Student,84,0.35,0,1
48,123159,662,IT Engineer,99,0.32,1,1
59,54012,891,Freelancer,80,0.32,1,1
38,89258,669,Student,47,0.09,1,1
31,63663,639,Student,97,0.27,1,0
56,30805,839,IT Engineer,96,0.14,0,0
56,44697,487,Doctor,12,0.37,0,0
22,138597,307,Sales Executive,56,0.3,0,0
37,118862,804,Business Owner,27,0.32,1,1
26,101594,714,Bank Employee,21,0.32,1,1
43,87694,519,IT Engineer,58,0.19,0,0
36,95421,776,Doctor,13,0.09,1,1
46,100564,617,Bank Employee,27,0.24,1,0
21,88690,390,Student,30,0.18,0,0
56,84030,592,Freelancer,96,0.31,0,0
50,142168,330,Bank Employee,88,0.15,0,0
22,95387,460,Driver,96,0.15,0,0
40,127011,340,Doctor,98,0.2,0,0
25,25690,528,Student,23,0.13,0,0
51,62403,892,Sales Executive,62,0.23,1,1
28,39178,829,Doctor,76,0.42,0,0
50,83217,424,Teacher,32,0.43,0,0
59,147140,579,Bank Employee,24,0.1,0,0
22,26978,786,Doctor,46,0.2,0,0
33,47263,320,Student,79,0.33,0,0
24,34061,872,Business Owner,48,0.15,0,0
28,142445,583,Driver,70,0.46,0,0
59,73880,368,Freelancer,17,0.37,0,0
45,65781,691,Doctor,84,0.15,1,1
27,84612,698,Sales Executive,96,0.1,1,1
34,41880,801,Driver,26,0.08,0,1
49,49061,500,IT Engineer,37,0.13,0,0
41,96579,831,Bank Employee,72,0.23,1,1
57,28017,527,IT Engineer,96,0.39,0,0
53,77845,358,Business Owner,26,0.11,0,0
45,107350,302,Teacher,78,0.07,0,0
34,42923,770,Sales Executive,83,0.45,0,0
29,98175,805,Sales Executive,27,0.2,1,1
35,55337,383,Sales Executive,68,0.2,0,0
27,144149,728,Doctor,61,0.29,1,1
22,142823,585,Sales Executive,96,0.24,0,0
51,65954,715,Driver,30,0.18,1,1
27,129732,667,Business Owner,85,0.37,0,1
31,39168,659,Shopkeeper,75,0.41,0,0
33,60934,585,Business Owner,62,0.42,0,0
33,99670,823,Sales Executive,48,0.4,0,0
46,44442,770,Teacher,33,0.36,0,1
28,102037,487,Bank Employee,18,0.14,0,0
34,80822,788,Sales Executive,63,0.38,0,1
22,105037,605,Bank Employee,34,0.17,1,0
35,99592,534,Teacher,82,0.37,0,0
44,77465,880,Doctor,33,0.09,1,1
54,139887,723,IT Engineer,24,0.24,1,1
24,117711,686,Driver,32,0.23,1,1
38,133431,477,Driver,27,0.07,0,0
45,128525,399,Bank Employee,18,0.45,0,0
44,115475,481,Business Owner,99,0.35,0,0
26,102800,465,Driver,20,0.4,0,0
54,136393,625,Business Owner,56,0.35,0,0
58,42278,357,Teacher,21,0.2,0,0
23,59437,383,Freelancer,38,0.28,0,0
39,129935,696,Business Owner,63,0.11,1,1
56,116888,886,Doctor,48,0.12,1,1
39,143614,367,IT Engineer,19,0.2,0,0
48,123228,717,Driver,94,0.34,1,1
30,74777,761,Sales Executive,15,0.32,1,1
38,136764,486,Freelancer,94,0.4,0,0
24,142090,465,IT Engineer,58,0.29,0,0
32,48790,421,Business Owner,20,0.35,0,0
47,133444,505,Student,46,0.07,0,0
49,98186,355,Bank Employee,32,0.47,0,0
32,137480,697,Freelancer,92,0.43,0,0
31,109249,644,Sales Executive,78,0.47,0,0
24,116947,574,Student,24,0.13,0,0
44,114567,423,Freelancer,99,0.12,0,0
46,102841,381,Freelancer,73,0.29,0,0
48,53001,806,Business Owner,67,0.43,0,0
24,101829,540,Teacher,54,0.38,0,0
56,121875,631,Student,25,0.17,1,0
35,90558,878,IT Engineer,63,0.26,1,1
42,60887,327,Sales Executive,89,0.16,0,0
44,70494,544,Business Owner,44,0.3,0,0
44,53883,367,Student,23,0.31,0,0
57,126869,771,Teacher,63,0.09,1,1
25,98342,746,Sales Executive,53,0.33,1,1
26,91041,744,Business Owner,90,0.09,1,1
30,33214,686,Sales Executive,81,0.06,0,0
23,35791,478,Student,99,0.43,0,0
58,27623,302,Driver,52,0.16,0,0
54,98799,445,Teacher,32,0.26,0,0
26,94005,581,Bank Employee,81,0.47,0,0
30,126755,803,Freelancer,10,0.33,1,1
36,103294,807,Freelancer,92,0.22,1,1
49,62741,748,IT Engineer,77,0.43,0,0
23,48629,625,Teacher,61,0.15,0,0
31,71081,709,Freelancer,56,0.27,1,1
57,100129,427,Driver,86,0.3,0,0
24,115115,826,Sales Executive,27,0.31,1,1
24,64639,603,Business Owner,78,0.06,1,0
44,146074,810,Teacher,53,0.22,1,1
48,80139,711,IT Engineer,57,0.28,1,1
55,87728,884,Freelancer,27,0.26,1,1
58,64439,319,Business Owner,30,0.42,0,0
44,139527,534,Student,74,0.38,0,0
42,88647,478,Doctor,30,0.47,0,0
46,125378,357,Shopkeeper,36,0.15,0,0
38,69046,308,Shopkeeper,41,0.12,0,0
23,113048,332,Bank Employee,29,0.14,0,0
31,94955,748,Doctor,55,0.35,0,1
29,84619,435,Shopkeeper,74,0.16,0,0
53,106913,349,Bank Employee,29,0.35,0,0
46,51392,362,Student,39,0.36,0,0
56,48566,388,Shopkeeper,77,0.09,0,0
24,69795,652,Teacher,27,0.38,0,1
22,145843,756,IT Engineer,80,0.19,1,1
28,25070,791,Sales Executive,25,0.15,0,0
27,74891,791,Driver,91,0.17,1,1
56,124735,540,Business Owner,42,0.45,0,0
54,65517,508,Sales Executive,45,0.32,0,0
39,92695,676,Business Owner,27,0.34,1,1
49,75344,382,Freelancer,36,0.15,0,0
59,113635,897,Doctor,96,0.21,1,1
26,74644,564,Sales Executive,20,0.41,0,0
30,28358,693,Sales Executive,46,0.2,0,0
25,133948,516,Student,52,0.42,0,0
44,113123,831,Business Owner,79,0.14,1,1
42,106871,530,Bank Employee,31,0.38,0,0
46,90997,762,Student,42,0.1,1,1
57,138624,817,Doctor,20,0.42,0,0
49,94901,700,Bank Employee,41,0.35,0,1
56,73485,624,Teacher,83,0.48,0,0
40,45817,378,Freelancer,15,0.06,0,0
38,129717,523,Sales Executive,93,0.11,0,0
35,120639,878,IT Engineer,36,0.06,1,1
35,147354,475,Business Owner,22,0.06,0,0
44,125039,395,IT Engineer,78,0.43,0,0
49,47764,304,Driver,52,0.33,0,0
37,101312,827,Driver,11,0.34,1,1
45,102793,537,Freelancer,60,0.22,0,0
36,63764,352,Student,75,0.07,0,0
